field,variant,measure,lambda_top_bits,free_top_bits,free_sum_bits,conditional_sum_bits,rms_final_1024,qr_free_sum_bits,qr_free_top_bits
3,fixed4_095,8192,0.6194933816138698,0.6593089294625066,4.456625991088278,-12.831086388461092,0.2560927005625128,4.456625991088284,0.6593089294624668
3,alternate4_095,8192,-1.4429932858761576,0.6593089294625066,4.456625991088278,-12.831086388461092,0.0,4.456625991088284,0.6593089294624668
3,all8_075_control,8192,-1.3406910705374768,0.6593089294625066,4.456625991088278,-11.543374008911723,0.0,4.456625991088284,0.6593089294624668
4,free,8192,0.7739995254959562,0.7739995254959562,5.276300440873275,5.276300440873275,0.41923431676470524,5.2763004408732685,0.773999525495956
4,fixed1_095,8192,0.7703600632012292,0.7739995254959562,5.276300440873275,0.9543723459859326,0.39003153091129117,5.2763004408732685,0.773999525495956
4,rotate1_095,8192,0.25593203141920534,0.7739995254959562,5.276300440873275,0.9543723459859326,0.23388743992252536,5.2763004408732685,0.773999525495956
4,rotate1_0999,8192,0.019731447735894688,0.7739995254959562,5.276300440873275,-4.689483843787048,0.06464571612948988,5.2763004408732685,0.773999525495956
4,fixed4_095,8192,0.7687230740611176,0.7739995254959562,5.276300440873275,-12.011411938676094,0.2930247259920016,5.2763004408732685,0.773999525495956
4,alternate4_095,8192,-1.3703975666806207,0.7739995254959562,5.276300440873275,-12.011411938676094,0.0,5.2763004408732685,0.773999525495956
4,all8_075_control,8192,-1.2260004745040447,0.7739995254959562,5.276300440873275,-10.723699559126725,0.0,5.2763004408732685,0.773999525495956
5,free,8192,0.7452015615179685,0.7452015615179685,5.2396225191514185,5.2396225191514185,0.40833931990018896,5.239622519151409,0.7452015615179685
5,fixed1_095,8192,0.726283757825613,0.7452015615179685,5.2396225191514185,0.9176944242640763,0.3713237478873599,5.239622519151409,0.7452015615179685
5,rotate1_095,8192,0.21415583571448277,0.7452015615179685,5.2396225191514185,0.9176944242640763,0.21853104978255272,5.239622519151409,0.7452015615179685
5,rotate1_0999,8192,-0.2537390541999123,0.7452015615179685,5.2396225191514185,-4.7261617655089045,0.0,5.239622519151409,0.7452015615179685
5,fixed4_095,8192,0.7065672899414946,0.7452015615179685,5.2396225191514185,-12.048089860397951,0.28197777380804784,5.239622519151409,0.7452015615179685
5,alternate4_095,8192,-1.3779005909161506,0.7452015615179685,5.2396225191514185,-12.048089860397951,0.0,5.239622519151409,0.7452015615179685
5,all8_075_control,8192,-1.2547984384820254,0.7452015615179685,5.2396225191514185,-10.760377480848582,0.0,5.239622519151409,0.7452015615179685
6,free,8192,0.6876157256045946,0.6876157256045946,4.778023704276898,4.778023704276898,0.3849968028590095,4.778023704276877,0.6876157256046891
6,fixed1_095,8192,0.6804062345937041,0.6876157256045946,4.778023704276898,0.45609560938955607,0.35555127268134734,4.778023704276877,0.6876157256046891
6,rotate1_095,8192,0.19226997066819204,0.6876157256045946,4.778023704276898,0.45609560938955607,0.20925501542090522,4.778023704276877,0.6876157256046891
6,rotate1_0999,8192,0.030518247681316977,0.6876157256045946,4.778023704276898,-5.187760580383425,0.07644411118786337,4.778023704276877,0.6876157256046891
6,fixed4_095,8192,0.6436287837534171,0.6876157256045946,4.778023704276898,-12.509688675272471,0.2541280246797076,4.778023704276877,0.6876157256046891
6,alternate4_095,8192,-1.4333059954222886,0.6876157256045946,4.778023704276898,-12.509688675272471,0.0,4.778023704276877,0.6876157256046891
6,all8_075_control,8192,-1.3123842743954075,0.6876157256045946,4.778023704276898,-11.221976295723103,0.0,4.778023704276877,0.6876157256046891
7,free,8192,0.6435570350635651,0.6435570350635651,4.3823417759192935,4.3823417759192935,0.36520477840680127,4.382341775919304,0.6435567036789733
7,fixed1_095,8192,0.6416743962904455,0.6435570350635651,4.3823417759192935,0.06041368103195133,0.3389251857000289,4.382341775919304,0.6435567036789733
7,rotate1_095,8192,0.150775565051745,0.6435570350635651,4.3823417759192935,0.06041368103195133,0.17891096944152773,4.382341775919304,0.6435567036789733
7,rotate1_0999,8192,0.004688696197195553,0.6435570350635651,4.3823417759192935,-5.5834425087410295,0.008728080654296371,4.382341775919304,0.6435567036789733
7,fixed4_095,8192,0.5855421518255742,0.6435570350635651,4.3823417759192935,-12.905370603630075,0.2454244428328077,4.382341775919304,0.6435567036789733
7,alternate4_095,8192,-1.462639818089362,0.6435570350635651,4.3823417759192935,-12.905370603630075,0.0,4.382341775919304,0.6435567036789733
7,all8_075_control,8192,-1.3564432743307906,0.6435570350635651,4.3823417759192935,-11.617658224080706,0.0,4.382341775919304,0.6435567036789733
8,free,8192,0.7658600791545085,0.7658600791545085,5.342111673343381,5.342111673343381,0.4218589306055295,5.342111673343393,0.7658600791545079
8,fixed1_095,8192,0.7574187448709281,0.7658600791545085,5.342111673343381,1.020183578456039,0.39156891649956954,5.342111673343393,0.7658600791545079
8,rotate1_095,8192,0.23438958156617312,0.7658600791545085,5.342111673343381,1.020183578456039,0.2351001036071727,5.342111673343393,0.7658600791545079
8,rotate1_0999,8192,-0.40577178581332995,0.7658600791545085,5.342111673343381,-4.623672611316942,0.0,5.342111673343393,0.7658600791545079
8,fixed4_095,8192,0.7282816580759165,0.7658600791545085,5.342111673343381,-11.945600706205987,0.30537147368121337,5.342111673343393,0.7658600791545079
8,alternate4_095,8192,-1.3721217231561835,0.7658600791545085,5.342111673343381,-11.945600706205987,0.0,5.342111673343393,0.7658600791545079
8,all8_075_control,8192,-1.234139920845492,0.7658600791545085,5.342111673343381,-10.657888326656618,0.0,5.342111673343393,0.7658600791545079
9,free,8192,0.6887349094010518,0.6887349094010518,4.686219371495062,4.686219371495062,0.3725190488102464,4.686219371495056,0.6887349094010516
9,fixed1_095,8192,0.6886499526961884,0.6887349094010518,4.686219371495062,0.36429127660771954,0.35889533668221,4.686219371495056,0.6887349094010516
9,rotate1_095,8192,0.17985081591338922,0.6887349094010518,4.686219371495062,0.36429127660771954,0.18851961049153676,4.686219371495056,0.6887349094010516
9,rotate1_0999,8192,-0.03224379847475148,0.6887349094010518,4.686219371495062,-5.279564913165261,9.859417167581577e-13,4.686219371495056,0.6887349094010516
9,fixed4_095,8192,0.6203492577841196,0.6887349094010518,4.686219371495062,-12.601493008054307,0.26032824344660127,4.686219371495056,0.6887349094010516
9,alternate4_095,8192,-1.4360216582541705,0.6887349094010518,4.686219371495062,-12.601493008054307,0.0,4.686219371495056,0.6887349094010516
9,all8_075_control,8192,-1.3112650905989534,0.6887349094010518,4.686219371495062,-11.313780628504938,0.0,4.686219371495056,0.6887349094010516
10,free,8192,0.8548110708830823,0.8548110708830823,6.028863098879088,6.028863098879088,0.43127188916548004,6.028863098879096,0.8548110708830824
10,fixed1_095,8192,0.8548284575165623,0.8548110708830823,6.028863098879088,1.7069350039917461,0.40078848980794335,6.028863098879096,0.8548110708830824
10,rotate1_095,8192,0.3168821573570766,0.8548110708830823,6.028863098879088,1.7069350039917461,0.25407759444269234,6.028863098879096,0.8548110708830824
10,rotate1_0999,8192,-0.0820691698701413,0.8548110708830823,6.028863098879088,-3.9369211857812347,0.0,6.028863098879096,0.8548110708830824
10,fixed4_095,8192,0.846663415577258,0.8548110708830823,6.028863098879088,-11.25884928067028,0.30903185572885494,6.028863098879096,0.8548110708830824
10,alternate4_095,8192,-1.3018426447687648,0.8548110708830823,6.028863098879088,-11.25884928067028,0.0,6.028863098879096,0.8548110708830824
10,all8_075_control,8192,-1.1451889291169213,0.8548110708830823,6.028863098879088,-9.97113690112091,0.0,6.028863098879096,0.8548110708830824
11,free,8192,0.6149207817973461,0.6149207817973461,4.158053540588294,4.158053540588294,0.3550000771359614,4.158053540588302,0.6149207817973456
11,fixed1_095,8192,0.6110106079446255,0.6149207817973461,4.158053540588294,-0.1638745542990483,0.32745553640151814,4.158053540588302,0.6149207817973456
11,rotate1_095,8192,0.14094349206047474,0.6149207817973461,4.158053540588294,-0.1638745542990483,0.17186537396806462,4.158053540588302,0.6149207817973456
11,rotate1_0999,8192,0.024161484185561688,0.6149207817973461,4.158053540588294,-5.807730744072029,0.06803273136726662,4.158053540588302,0.6149207817973456
